FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB
SEQUENTIAL;2;20;5;4000;218;0.089319;0;;;MIXED;2;20;5;4000;1851;0.083753;0;;;RANDOM;2;20;5;4000;318;0.090539;0
SEQUENTIAL;2;20;5;4000;54;0.084740;0;;;MIXED;2;20;5;4000;3062;0.090730;0;;;RANDOM;2;20;5;4000;709;0.087972;0
SEQUENTIAL;2;20;5;4000;28;0.091707;0;;;MIXED;2;20;5;4000;2945;0.092446;0;;;RANDOM;2;20;5;4000;573;0.088947;0
SEQUENTIAL;2;20;5;4000;102;0.085784;0;;;MIXED;2;20;5;4000;3498;0.093324;0;;;RANDOM;2;20;5;4000;44;0.086408;0
SEQUENTIAL;2;20;5;4000;102;0.084561;0;;;MIXED;2;20;5;4000;2249;0.090288;0;;;RANDOM;2;20;5;4000;125;0.081935;0
SEQUENTIAL;2;20;5;4000;39;0.082393;0;;;MIXED;2;20;5;4000;2766;0.087899;0;;;RANDOM;2;20;5;4000;637;0.086431;0
SEQUENTIAL;2;20;5;4000;53;0.084287;0;;;MIXED;2;20;5;4000;1768;0.087520;0;;;RANDOM;2;20;5;4000;167;0.090954;0
SEQUENTIAL;2;20;5;4000;322;0.083935;0;;;MIXED;2;20;5;4000;3759;0.089839;0;;;RANDOM;2;20;5;4000;828;0.088678;0
SEQUENTIAL;2;20;10;4000;0;0.094512;1;;;MIXED;2;20;10;4000;0;0.092571;1;;;RANDOM;2;20;10;4000;0;0.093298;1
SEQUENTIAL;2;20;10;4000;0;0.095124;1;;;MIXED;2;20;10;4000;0;0.092976;1;;;RANDOM;2;20;10;4000;0;0.096252;1
SEQUENTIAL;2;20;10;4000;0;0.097367;1;;;MIXED;2;20;10;4000;0;0.093312;1;;;RANDOM;2;20;10;4000;0;0.095949;1
SEQUENTIAL;2;20;10;4000;0;0.093577;1;;;MIXED;2;20;10;4000;0;0.093405;1;;;RANDOM;2;20;10;4000;0;0.093943;1
SEQUENTIAL;2;20;10;4000;0;0.097634;1;;;MIXED;2;20;10;4000;0;0.094070;1;;;RANDOM;2;20;10;4000;0;0.096926;1
SEQUENTIAL;2;20;10;4000;0;0.088852;1;;;MIXED;2;20;10;4000;0;0.092433;1;;;RANDOM;2;20;10;4000;0;0.093298;1
